,id,author_id,edit_history_tweet_ids,created_at,text
38,1598433037183754259,759251,['1598433037183754259'],2022-12-01T21:45:08.000Z,"Britain's Prince William and his wife Catherine, Princess of Wales, are in Boston this week to attend the Earthshot Prize Awards that William founded two years ago.
https://t.co/zCLYmzyrr5 https://t.co/qldTArwALA"
39,1598429285517238293,759251,['1598429285517238293'],2022-12-01T21:30:13.000Z,Another scandal has engulfed Buckingham Palace. Does the British monarchy have a racism problem? | Analysis by Rob Picheta https://t.co/Ta3FVbBIyA
40,1598425499339988998,759251,['1598425499339988998'],2022-12-01T21:15:11.000Z,"Theirs was not a competitive relationship, but a sisterly one – both women were gifted songwriters responsible for crafting many of the band’s best-known tunes. https://t.co/P4Ch4pnqgT"
41,1598421758205370370,759251,['1598421758205370370'],2022-12-01T21:00:19.000Z,"Convicted fraudster Joel Greenberg, who cooperated extensively with prosecutors investigating GOP Rep. Matt Gaetz, was sentenced to 11 years in prison by a federal judge in Orlando, Florida. https://t.co/HaeHkIEYMY"
42,1598417924284375040,759251,['1598417924284375040'],2022-12-01T20:45:04.000Z,More than 10 million people across at least nine western states are under winter alerts as winter storms sweep through the region. https://t.co/SBuwmmv1OK
43,1598414195439058944,759251,['1598414195439058944'],2022-12-01T20:30:15.000Z,Findings from new research suggests a function for thousands of pieces of slate engraved with images of owls: They were toys made and used by children. https://t.co/fLpHxTEZvT
44,1598410385660542977,759251,['1598410385660542977'],2022-12-01T20:15:07.000Z,"“I think I got a little cocky — I mean, more than a little bit,” Sam Bankman-Fried said. https://t.co/dj29LMONnR"
45,1598409210521329684,759251,['1598409210521329684'],2022-12-01T20:10:27.000Z,"The Supreme Court will hear oral arguments in February on President Biden's student loan debt relief plan, which remains on hold https://t.co/JcE9VrAIpn"
46,1598406666646683668,759251,['1598406666646683668'],2022-12-01T20:00:20.000Z,"An ex-girlfriend of Herschel Walker, the Republican Senate nominee in Georgia, has come forward in The Daily Beast to allege that the former football star was violent and threatening toward her during an incident that took place in 2005. https://t.co/bhF6VmEMD7"
47,1598404100328226820,759251,['1598404100328226820'],2022-12-01T19:50:09.000Z,"“I didn’t get, like, hit in the balls,” US Men’s National Team captain Christian Pulisic said. “I’m alright. I’m alright."" https://t.co/flj6E4V69x"
48,1598402827595964416,759251,['1598402827595964416'],2022-12-01T19:45:05.000Z,First on CNN: Republican Rep. Jim Jordan renews requests to four current and former government officials for information and interviews as House Judiciary investigations take shape. https://t.co/TyQQsxizrQ
49,1598400213798060042,759251,['1598400213798060042'],2022-12-01T19:34:42.000Z,"History made! For the first time, a men's World Cup match was officiated by an all-female crew

Stéphanie Frappart, Karen Diaz, and Neuza Back formed the all-female refereeing trio officiating Costa Rica vs. Germany in their Group E match at the World Cup https://t.co/Diblp5uWvA https://t.co/KKy57aJNA4"
50,1598399069138944004,759251,['1598399069138944004'],2022-12-01T19:30:09.000Z,Researchers announced that they forged two minuscule simulated black holes in a quantum computer and transmitted a message between them through what amounted to a tunnel in space-time. https://t.co/W50YhavSPX
51,1598395301701845000,759251,['1598395301701845000'],2022-12-01T19:15:11.000Z,The Democratic-led House Ways and Means Committee will meet to discuss how to handle six years of former President Donald Trump’s federal tax returns. https://t.co/WcLlD15lSO
52,1598391553642430464,759251,['1598391553642430464'],2022-12-01T19:00:17.000Z,"Develop a sleep debt from worries, and you’ll pay a price in your ability to think, plan and manage your emotions. https://t.co/0V9y5xm2hc"
53,1598387745633828874,759251,['1598387745633828874'],2022-12-01T18:45:09.000Z,Taronga Zoo in Australia said that new CCTV footage reveals how four cubs and an adult male escaped their enclosure by squeezing beneath a mesh wire fence. https://t.co/NbDIinpK4a
54,1598383981568950287,759251,['1598383981568950287'],2022-12-01T18:30:12.000Z,Indiana’s attorney general wants a state board to discipline a doctor who provided abortion services to a 10-year-old. Her attorney says it’s to ‘intimidate’ providers. https://t.co/4eNmm85DXz
55,1598380190626942988,759251,['1598380190626942988'],2022-12-01T18:15:08.000Z,"McDonald’s is hoping a drive-thru lane with a food conveyor belt, among other features, will make life easier for customers on the go. https://t.co/yhN3bDlpo0"
56,1598376456320651293,759251,['1598376456320651293'],2022-12-01T18:00:18.000Z,Professional organizers debunk six popular myths that might be preventing you from working your way to a more organized home -- and mind. https://t.co/9qnmApon0b
57,1598372619333603341,759251,['1598372619333603341'],2022-12-01T17:45:03.000Z,The College Football Playoff will expand from four to 12 teams starting with the 2024-2025 season. https://t.co/zLTLVjjHwf
58,1598368873669173248,759251,['1598368873669173248'],2022-12-01T17:30:10.000Z,"These rescued sea turtles are being rehabilitated after they were stunned by cold water near Cape Cod, Massachusetts. https://t.co/NnlvtvLqZz https://t.co/smIUTnhrI7"
59,1598361354305519621,759251,['1598361354305519621'],2022-12-01T17:00:17.000Z,"No matter how smart or well educated you are, and no matter how successful professionally, when it comes to investing you still might not make the best decisions. Here are common mistakes to avoid. https://t.co/Ewnkbl9fpg"
60,1598360472734076929,759251,['1598360472734076929'],2022-12-01T16:56:47.000Z,Buckingham Palace official quits and apologizes after asking Black charity founder “Where do you really come from?” Watch: https://t.co/t5jpk1ps9d
61,1598353834350370817,759251,['1598353834350370817'],2022-12-01T16:30:24.000Z,"Family Dollar has lost ground in the dollar store race for years. Now, the discount chain hopes lowering prices will help win back customers on tight budgets. https://t.co/TOUKFGS7XK"
62,1598349990321348608,759251,['1598349990321348608'],2022-12-01T16:15:08.000Z,The verdict is in: A four-day work week is good for business. https://t.co/TDsunu1JZW
63,1598349300026720257,759251,['1598349300026720257'],2022-12-01T16:12:23.000Z,Kevin McCarthy issued a warning to his party as he tries to get the votes to be the next Speaker of the House. CNN political analyst @jmart explains why McCarthy’s speakership bid is in “real danger.” Watch: https://t.co/DaR6VK3Vc1
64,1598346434079850497,759251,['1598346434079850497'],2022-12-01T16:01:00.000Z,"After spending five years in prison on drug charges, Tyrique Glasgow returned to his South Philadelphia neighborhood. Now, he provides safety and opportunity for his entire community.

You can help Tyrique become the next CNN Hero of the Year. Vote now: https://t.co/ANMKKlbytz. https://t.co/egEyipCqnC"
65,1598346232895868929,759251,['1598346232895868929'],2022-12-01T16:00:12.000Z,Justin Bieber is on a mission to make the world's drinking water more sustainable. https://t.co/aIRT37OhF7
66,1598342440569692166,759251,['1598342440569692166'],2022-12-01T15:45:08.000Z,"""His name was #MehranSamak"" 

Iranian security forces have killed an anti-government protester celebrating the World Cup defeat, a human rights group says. https://t.co/ht1MjhUICn"
67,1598338673153540101,759251,['1598338673153540101'],2022-12-01T15:30:10.000Z,Pepsi has launched a campaign encouraging customers to mix milk into their soda -- and it's backed by Lindsay Lohan. https://t.co/8xwPlYcsOy
68,1598334901190889474,759251,['1598334901190889474'],2022-12-01T15:15:10.000Z,"Jason David Frank's wife has revealed the cause of the ""Power Rangers"" star's death. https://t.co/GapoSBql44"
69,1598331140502429696,759251,['1598331140502429696'],2022-12-01T15:00:14.000Z,Al Roker’s “Today” family is sending him love after he has been readmitted to a hospital. https://t.co/TP1XSnWex9
70,1598329101433147394,759251,['1598329101433147394'],2022-12-01T14:52:07.000Z,"Being an OnlyFans creator is not as easy as you may think. 

On today's episode of #TheAssignment, @AudieCornish talks to two successful creators about the social and financial risks of selling explicit content. Listen here. https://t.co/O9lFUIaoVy https://t.co/EMLOnhtBPb"
71,1598327347857465345,759251,['1598327347857465345'],2022-12-01T14:45:09.000Z,"Railroad workers aren't the only Americans without paid sick days. Overall, about 33 million workers have no safety net if they fall ill, according to an advocacy organization. https://t.co/yIpNPqufdl"
72,1598326337705476099,759251,['1598326337705476099'],2022-12-01T14:41:09.000Z,"Newly declassified documents from April 2004 reveal then-President George W. Bush pushed back against the notion he knew about a domestic terror threat leading up to 9/11.
Watch @tomforemancnn’s full report: https://t.co/Rnyg5zD1Vt"
73,1598323602537041924,759251,['1598323602537041924'],2022-12-01T14:30:16.000Z,New Zealand's Jacinda Ardern and Finland's Sanna Marin quickly shot down a reporter who asked if their similar age and gender was the reason for their official meeting. https://t.co/HgBhR3g9tg https://t.co/OT2i9A1PBa
74,1598319803395104768,759251,['1598319803395104768'],2022-12-01T14:15:11.000Z,"Asked about any moments that might make him “wince,” director Richard Curtis said: “The lack of diversity makes me feel uncomfortable and a bit stupid.” https://t.co/w4aKO9hz44"
75,1598316043356749831,759251,['1598316043356749831'],2022-12-01T14:00:14.000Z,Get ready for a more intimate look into the lives of the Duke and Duchess of Sussex. https://t.co/djSrk8vlgj
